Date|Open|High|Low|Close|Adj Close|Volume|Stock Return
2018-01-31| 115.65 | 116.66 | 115.16 | 115.67 | 111.109863 | 13,141,400 |
2018-02-01| 115.77 | 116.99 | 115.48 | 116.87 | 112.262558 | 13,800,600 | 0.010321 
2018-02-02| 116.49 | 116.92 | 114.09 | 114.28 | 109.774666 | 16,477,300 | (0.022411)
2018-02-05| 113.00 | 114.59 | 103.98 | 108.80 | 104.510712 | 30,097,600 | (0.049140)
2018-02-06| 106.85 | 112.48 | 106.61 | 112.11 | 107.690224 | 33,114,800 | 0.029969 
2018-02-07| 111.55 | 114.45 | 111.15 | 112.87 | 108.420258 | 21,878,300 | 0.006756 
2018-02-08| 113.11 | 113.11 | 107.84 | 107.88 | 103.626976 | 27,425,800 | (0.045217)
2018-02-09| 109.10 | 111.05 | 106.23 | 110.04 | 105.701820 | 28,188,000 | 0.019824 
2018-02-12| 111.17 | 112.73 | 110.07 | 111.74 | 107.334793 | 18,043,300 | 0.015331 
2018-02-13| 111.32 | 113.05 | 110.80 | 112.43 | 107.997604 | 16,358,200 | 0.006156 
2018-02-14| 112.63 | 115.27 | 112.53 | 115.03 | 110.495102 | 15,186,900 | 0.022862 
2018-02-15| 115.74 | 115.99 | 114.22 | 115.51 | 110.956177 | 12,130,200 | 0.004164 
2018-02-16| 114.55 | 116.07 | 114.50 | 114.68 | 110.158905 | 13,214,300 | (0.007211)
2018-02-20| 114.65 | 115.39 | 113.97 | 114.71 | 110.187714 | 13,461,500 | 0.000261 
2018-02-21| 115.00 | 117.45 | 114.67 | 115.19 | 110.648788 | 14,212,500 | 0.004176 
2018-02-22| 115.50 | 116.43 | 114.76 | 114.98 | 110.447075 | 17,070,400 | (0.001825)
2018-02-23| 115.31 | 117.39 | 115.31 | 117.31 | 112.685219 | 12,162,500 | 0.020062 
2018-02-26| 118.14 | 118.90 | 117.32 | 118.77 | 114.087654 | 16,511,200 | 0.012369 
2018-02-27| 118.91 | 119.33 | 117.35 | 117.36 | 112.733238 | 17,563,300 | (0.011943)
2018-02-28| 117.82 | 118.49 | 115.34 | 115.50 | 110.946579 | 17,735,600 | (0.015975)
2018-03-01| 115.48 | 116.64 | 112.65 | 113.43 | 108.958183 | 18,690,000 | (0.018085)
2018-03-02| 112.39 | 113.56 | 111.12 | 113.32 | 108.852509 | 18,353,700 | (0.000970)
2018-03-05| 112.05 | 115.93 | 111.89 | 115.06 | 110.523918 | 13,933,000 | 0.015238 
2018-03-06| 115.64 | 115.82 | 114.32 | 115.16 | 110.619980 | 10,674,400 | 0.000869 
2018-03-07| 113.75 | 115.10 | 113.11 | 114.73 | 110.206932 | 13,006,500 | (0.003741)
2018-03-08| 115.11 | 115.23 | 113.21 | 114.74 | 110.216537 | 11,173,700 | 0.000087 
2018-03-09| 116.55 | 118.08 | 115.67 | 118.04 | 113.386436 | 15,366,600 | 0.028355 
2018-03-12| 118.00 | 118.75 | 117.25 | 117.66 | 113.021423 | 12,339,300 | (0.003224)
2018-03-13| 118.20 | 118.47 | 115.83 | 116.25 | 111.667000 | 13,312,300 | (0.012056)
2018-03-14| 116.56 | 116.59 | 114.60 | 114.95 | 110.418251 | 12,905,100 | (0.011246)
2018-03-15| 115.87 | 116.00 | 114.83 | 115.24 | 110.696815 | 8,748,000 | 0.002520 
2018-03-16| 115.34 | 116.60 | 115.34 | 115.44 | 110.888939 | 19,888,900 | 0.001734 
2018-03-19| 115.10 | 115.45 | 113.30 | 114.53 | 110.014809 | 13,214,900 | (0.007914)
2018-03-20| 114.87 | 115.45 | 114.45 | 114.64 | 110.120468 | 9,921,200 | 0.000960 
2018-03-21| 114.81 | 116.63 | 114.21 | 114.74 | 110.216537 | 13,633,000 | 0.000872 
2018-03-22| 113.20 | 113.60 | 109.54 | 109.95 | 105.615372 | 22,550,400 | (0.042643)
2018-03-23| 110.27 | 110.92 | 106.76 | 107.01 | 102.791275 | 23,081,500 | (0.027103)
2018-03-26| 109.19 | 111.16 | 108.65 | 110.31 | 105.961174 | 20,217,500 | 0.030372 
2018-03-27| 111.07 | 111.69 | 107.30 | 108.17 | 103.905540 | 18,039,900 | (0.019591)
2018-03-28| 108.28 | 109.17 | 106.65 | 108.00 | 103.742249 | 19,189,300 | (0.001573)
2018-03-29| 108.50 | 110.78 | 107.78 | 109.97 | 105.634583 | 13,274,600 | 0.018076 
2018-04-02| 109.96 | 110.73 | 106.08 | 107.85 | 103.598160 | 18,822,500 | (0.019466)
2018-04-03| 108.36 | 109.50 | 107.26 | 109.33 | 105.019814 | 14,050,700 | 0.013629 
2018-04-04| 107.10 | 111.21 | 107.02 | 110.99 | 106.614372 | 15,302,600 | 0.015069 
2018-04-05| 111.63 | 112.83 | 111.39 | 111.88 | 108.014259 | 16,627,000 | 0.013045 
2018-04-06| 110.55 | 111.55 | 107.82 | 109.09 | 105.320656 | 18,906,000 | (0.025254)
2018-04-09| 110.01 | 112.98 | 109.89 | 110.40 | 106.585403 | 15,974,300 | 0.011937 
2018-04-10| 112.13 | 112.87 | 111.42 | 112.51 | 108.622498 | 13,951,400 | 0.018932 
2018-04-11| 111.66 | 111.81 | 110.52 | 110.62 | 106.797806 | 14,503,300 | (0.016941)
2018-04-12| 111.56 | 114.39 | 111.50 | 113.37 | 109.452789 | 16,435,500 | 0.024556 
2018-04-13| 115.02 | 115.15 | 109.05 | 110.30 | 106.488861 | 39,152,800 | (0.027453)
2018-04-16| 110.94 | 111.47 | 109.79 | 110.21 | 106.401978 | 16,580,500 | (0.000816)
2018-04-17| 111.37 | 111.92 | 109.99 | 110.21 | 106.401978 | 15,501,400 | -   
2018-04-18| 110.53 | 111.07 | 108.89 | 109.32 | 105.542717 | 16,081,400 | (0.008108)
2018-04-19| 109.53 | 111.87 | 109.50 | 111.72 | 107.859795 | 17,911,000 | 0.021716 
2018-04-20| 112.30 | 112.74 | 110.88 | 111.47 | 107.618423 | 15,584,400 | (0.002240)
2018-04-23| 111.57 | 111.95 | 110.63 | 110.93 | 107.097099 | 11,285,800 | (0.004856)
2018-04-24| 111.75 | 112.90 | 109.59 | 110.41 | 106.595062 | 16,453,100 | (0.004699)
